id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
d_v,N,d_v2,,B,3*KVHead/Head,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,,,backward
d_q,N,d_qk,k2_recomp,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,backward
d_k2,N,d_qk,q_recomp,M,"bswh,bsnh->bwnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,backward
d_k,N,d_k2,,B,3*KVHead/Head,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,,,backward
d_wq,N,d_q,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wq_shard,,backward
d_wk,N,d_k,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wk_shard,,backward
d_wv,N,d_v,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wv_shard,,backward
d_x1,N,d_q,wq_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x2,N,d_k,wk_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x3,N,d_v,wv_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x4,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,backward
d_x12,N,d_x1,d_x2,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,backward
d_x34,N,d_x3,d_x4,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,backward
d_x,N,d_x12,d_x34,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,x,,backward
